sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
4,11449,LD2,630,750,3.739548005416666,0.0002278843796234,0.00259686
4,11451,LD2,630,750,3.739344344459459,0.0002145068281516,0.00217609
4,11452,LD2,630,750,3.739436023650793,0.0001282019777107,0.00898508
4,11456,LD2,630,750,3.739413755833332,0.00017533923785,0.00732743
4,11493,LD2,630,750,3.739209929407407,0.0003460819362294,0.00236925
4,11494,LD2,630,750,3.739075018118279,0.0001024818914696,0.00335627
4,11495,LD2,630,750,3.7391588445454538,0.000107082857082,0.00342057
4,11496,LD2,630,750,3.739081594938271,8.792006787844329e-05,0.00304391
4,11551,LD2,630,750,3.739208467121212,0.000187314967793,0.00132071
4,11554,LD2,630,750,3.7391762575438583,0.0001990087476205,0.000869628
4,11562,LD2,630,750,3.739323417,0.0001344811046525,0.00336828
4,11563,LD2,630,750,3.739350498,4.410159558703917e-05,0.00075669
4,11564,LD2,630,750,3.7393405974193534,3.555915956960639e-05,0.00192168
4,11565,LD2,630,750,3.739309255595238,0.0001227875723405,0.00251332
4,11568,LD2,630,750,3.739336986321838,4.909433191155833e-05,0.00269407
4,11570,LD2,630,750,3.739298871886792,0.0001268487115402,0.00145423
4,11571,LD2,630,750,3.739315679571429,8.992080111817231e-05,0.00206349
4,11579,LD2,0,750,3.739322573681592,9.73018283198522e-05,0.00584684
4,11580,LD2,0,750,3.73932753275862,9.87073110890776e-05,0.00170179
4,11581,LD2,0,750,3.739328092957746,9.65558563792464e-05,0.00411985
4,11582,LD2,0,750,3.739303790113636,0.0001025613249404,0.00253737
4,11583,LD2,0,750,3.7391904867934778,0.0001746337205966,0.00336685
4,11586,LD2,0,750,3.739278017472527,0.0001299022799155,0.00483441
4,11593,LD2,1050,750,3.739330117514792,0.0002054423256623,0.00392495
4,11594,LD2,1050,750,3.739333538181817,0.0001890083768819,0.00108199
4,11595,LD2,1050,750,3.7394342126785705,7.253997284224385e-05,0.00170929
7,11996,LD2,1785,750,7.9308120075,0.000558672076464,0.00651399
