sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
4,11436,LH2,630,750,3.7392942652903214,0.0001588084343271,0.0109847
4,11500,LH2,630,750,3.739391359347825,0.0001374851064047,0.00500944
4,11547,LH2,630,750,3.739156094752474,0.000171556775303,0.0061341
4,11548,LH2,630,750,3.7390099008333326,7.359370915608227e-05,0.00550121
4,11573,LH2,0,750,3.7392996661576334,0.0001267577550225,0.0117094
4,11587,LH2,0,750,3.739164185833333,0.0001740109738678,0.00792101
4,11588,LH2,0,750,3.7391686206666654,0.0001622603886927,0.00259923
4,11589,LH2,1050,750,3.739174406086956,0.0001140183367925,0.00100384
4,11590,LH2,1050,750,3.739288214146341,0.0001927668545752,0.00735889
4,11592,LH2,1050,750,3.739212418333333,0.0002240430810505,0.00184626
4,11616,LH2,630,750,3.739340341748252,0.0001549381299704,0.00739176
7,11989,LH2,1785,750,7.931112752387095,0.0003331524293539,0.00130755
7,11990,LH2,1785,750,7.931061681148648,0.0004095255373436,0.00198962
7,11991,LH2,1785,750,7.931196057272727,0.000436942889164,0.00229598
7,11992,LH2,1785,750,7.931247083333332,0.0001059637809945,0.00160917
7,11993,LH2,1785,750,7.930822240312499,0.0007507941738674,0.00113811
7,11994,LH2,1785,750,7.931120537885713,0.0005823370978836,0.0236623
7,12000,LH2,1785,750,7.930676383793103,0.0008912611687806,0.0223243
7,12008,LH2,1785,750,7.930810380640393,0.0007903298227873,0.0253461
7,12022,LH2,1785,750,7.930880580758621,0.0006154934074404,0.0321092
7,12035,LH2,1785,750,7.930627716059113,0.0004777278867841,0.0318323
7,12049,LH2,1785,750,7.9305367725,0.0004562089697007,0.034047
7,12052,LH2,1785,750,7.93053102,0.0002490600519018,0.00875864
7,12053,LH2,1785,750,7.93045976409091,0.0002127279229002,0.0335387
7,12058,LH2,1785,750,7.931131828799998,0.0003563481480569,0.022529
7,12064,LH2,1785,750,7.931045122167487,0.000475585546862,0.0348756
7,12072,LH2,1785,750,7.930993985180722,0.0005616080209484,0.0327866
11,12313,LH2,2100,750,9.888723979799106,0.0002670046124533,0.0460301
11,12320,LH2,2100,750,9.88919657718638,0.0003793669296975,0.0313638
11,12335,LH2,2100,750,9.888826473454545,0.0002871710535884,0.0240205
11,12336,LH2,2100,750,9.888969729067355,0.0003369789514369,0.0385814
11,12340,LH2,2100,750,9.8890919402,0.0001243007202408,0.0411478
11,12345,LH2,2100,750,9.889292961685392,0.0002403741591383,0.0624247
